target,machine,layer_idx,head_idx,code_idx,records,share_of_target_machine_events,update_norm_max,update_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio
ucap0p5-r2,2080ti,1,1,8,13,0.003031716417910448,0.19252409040927887,0.18645155429840088,0.0,0.0
ucap0p5-r2,2080ti,1,1,32,13,0.003031716417910448,0.20841169357299805,0.1905365288257599,0.0,0.0
ucap0p5-r2,2080ti,1,0,31,12,0.002798507462686567,0.20218393206596375,0.18620054423809052,0.0,0.0
ucap0p5-r2,2080ti,1,1,36,12,0.002798507462686567,0.18929772078990936,0.17221643030643463,0.0,0.0
ucap0p5-r2,2080ti,1,1,57,12,0.002798507462686567,0.21221740543842316,0.18671093881130219,0.0,0.0
ucap0p5-r2,2080ti,1,1,7,11,0.0025652985074626866,0.20766770839691162,0.20766770839691162,0.0,0.0
ucap0p5-r2,2080ti,1,1,24,11,0.0025652985074626866,0.18625225126743317,0.18625225126743317,0.0,0.0
ucap0p5-r2,2080ti,1,1,28,11,0.0025652985074626866,0.2315961718559265,0.2315961718559265,0.0,0.0
ucap0p5-r2,2080ti,1,0,25,10,0.0023320895522388058,0.18458528816699982,0.18458528816699982,0.0,0.0
ucap0p5-r2,2080ti,1,0,28,10,0.0023320895522388058,0.18495313823223114,0.18495313823223114,0.0,0.0
ucap0p5-r2,2080ti,1,0,21,9,0.0020988805970149254,0.20588356256484985,0.20588356256484985,0.0,0.0
ucap0p5-r2,2080ti,1,1,9,9,0.0020988805970149254,0.1974397748708725,0.1974397748708725,0.0,0.0
ucap0p5-r2,2080ti,1,1,48,9,0.0020988805970149254,0.2187507599592209,0.2187507599592209,0.0,0.0
ucap0p5-r2,2080ti,1,1,51,9,0.0020988805970149254,0.187005877494812,0.187005877494812,0.0,0.0
ucap0p5-r2,2080ti,1,0,27,8,0.0018656716417910447,0.2011968493461609,0.2011968493461609,0.0,0.0
ucap0p5-r2,2080ti,1,0,35,8,0.0018656716417910447,0.18614113330841064,0.18614113330841064,0.0,0.0
